Version, File Name, Size, LOCAdded, LOCTouched, MaxLOCAdded, averageLOCAdded, NR, Churn, MaxChurn, AverageChurn, nAuthors, Buggy
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PDeletedState.java, 87, 175,263,88,43.0,4,87,83,21.75,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java, 311, 322,333,309,80.0,4,311,309,77.75,2,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/DocTypeReader.java, 275, 397,519,314,79.0,5,275,314,55.0,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNewDeletedState.java, 89, 179,269,90,44.0,4,89,85,22.25,1,false
1, openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistentMap.java, 49, 97,145,49,24.0,4,49,46,12.25,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java, 166, 193,220,163,38.0,5,166,163,33.20000076293945,2,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/UntypedPCValueHandler.java, 119, 122,125,119,40.0,3,119,119,39.66666793823242,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNonTransDeletedState.java, 76, 152,228,77,38.0,4,76,72,19.0,1,false
1, openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/DoubleValue.java, 69, 94,119,73,18.0,5,69,73,13.800000190734863,1,false
1, openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/VersionColumn.java, 48, 48,48,48,24.0,2,48,48,24.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedCharArrayFieldStrategy.java, 110, 110,110,110,55.0,2,110,110,55.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java, 259, 259,259,259,129.0,2,259,259,129.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/util/Proxies.java, 250, 498,746,251,124.0,4,250,241,62.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/util/ImplHelper.java, 204, 596,988,273,54.0,11,204,260,18.545454025268555,3,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractDB2Dictionary.java, 95, 95,95,95,47.0,2,95,95,47.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Divide.java, 39, 77,115,39,19.0,4,39,35,9.75,1,false
1, openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingFactory.java, 58, 58,58,58,29.0,2,58,58,29.0,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNewFlushedDeletedFlushedState.java, 35, 71,107,36,17.0,4,35,31,8.75,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/util/CollectionChangeTrackerImpl.java, 111, 225,339,113,45.0,5,111,107,22.200000762939453,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java, 895, 1784,2673,867,162.0,11,895,822,81.36363983154297,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyHashSet.java, 146, 289,432,146,72.0,4,146,140,36.5,1,false
1, openjpa-persistence/src/main/java/org/apache/openjpa/persistence/TransactionRequiredException.java, 114, 220,326,108,44.0,5,114,104,22.799999237060547,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java, 93, 93,93,93,46.0,2,93,93,46.5,1,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/SimpleNode.java, 31, 59,87,31,14.0,4,31,27,7.75,1,false
1, openjpa-persistence/src/main/java/org/apache/openjpa/persistence/StoreCache.java, 196, 392,588,197,65.0,6,196,191,32.66666793823242,2,false
1, openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XSecondaryTables.java, 34, 34,34,34,17.0,2,34,34,17.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java, 192, 211,230,188,52.0,4,192,188,48.0,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryLanguages.java, 59, 132,205,65,14.0,9,59,59,6.55555534362793,2,false
1, openjpa-kernel/src/main/java/org/apache/openjpa/meta/Extensions.java, 460, 902,1344,460,180.0,5,460,437,92.0,1,false
1, openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java, 49, 49,49,49,24.0,2,49,49,24.5,1,false
