@relation BOOKKEEPER_3/BOOKKEEPER_3_training_set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
81,0,0,0,0.0,0,0,0,NaN,0,false
788,873,944,712,109.0,8,802,712,100.25,3,false
60,60,60,60,60.0,1,60,60,60.0,1,false
48,0,0,0,0.0,0,0,0,NaN,0,false
162,0,0,0,0.0,0,0,0,NaN,0,false
150,63,68,58,31.0,2,58,53,29.0,2,false
169,5,6,4,2.0,2,4,4,2.0,2,false
236,236,236,236,236.0,1,236,236,236.0,1,false
150,26,59,25,13.0,2,-7,0,-3.5,1,false
129,7,8,7,7.0,1,6,6,6.0,1,false
481,62,70,50,31.0,2,54,42,27.0,1,false
529,9,22,5,2.0,4,-4,0,-1.0,1,false
65,74,82,69,37.0,2,66,69,33.0,1,false
72,8,8,8,8.0,1,8,8,8.0,1,false
132,4,6,4,4.0,1,2,2,2.0,1,false
32,1,2,1,1.0,1,0,0,0.0,1,false
196,202,208,195,101.0,2,196,195,98.0,1,false
74,0,0,0,0.0,0,0,0,NaN,0,false
31,32,32,32,32.0,1,32,32,32.0,1,false
137,0,0,0,0.0,0,0,0,NaN,0,false
132,0,0,0,0.0,0,0,0,NaN,0,false
84,26,35,26,26.0,1,17,17,17.0,1,false
148,0,0,0,0.0,0,0,0,NaN,0,false
78,0,0,0,0.0,0,0,0,NaN,0,false
174,0,0,0,0.0,0,0,0,NaN,0,false
1041,1057,1073,1029,528.0,2,1041,1029,520.5,1,false
43,1,2,1,1.0,1,0,0,0.0,1,false
368,305,486,294,152.0,2,124,123,62.0,2,false
76,0,0,0,0.0,0,0,0,NaN,0,false
77,77,77,77,77.0,1,77,77,77.0,1,false
242,12,13,12,12.0,1,11,11,11.0,1,false
55,9,13,9,9.0,1,5,5,5.0,1,false
29,0,0,0,0.0,0,0,0,NaN,0,false
37,0,0,0,0.0,0,0,0,NaN,0,false
180,0,0,0,0.0,0,0,0,NaN,0,false
98,0,0,0,0.0,0,0,0,NaN,0,false
215,227,239,177,75.0,3,215,177,71.66666412353516,1,false
45,0,0,0,0.0,0,0,0,NaN,0,false
157,161,164,157,53.0,3,158,157,52.66666793823242,1,false
27,27,27,27,27.0,1,27,27,27.0,1,false
227,0,0,0,0.0,0,0,0,NaN,0,false
98,0,0,0,0.0,0,0,0,NaN,0,false
96,0,0,0,0.0,0,0,0,NaN,0,false
60,0,0,0,0.0,0,0,0,NaN,0,false
74,0,0,0,0.0,0,0,0,NaN,0,false
84,0,0,0,0.0,0,0,0,NaN,0,false
163,9,12,6,4.0,2,6,4,3.0,2,false
41,0,0,0,0.0,0,0,0,NaN,0,false
39,0,0,0,0.0,0,0,0,NaN,0,false
53,0,0,0,0.0,0,0,0,NaN,0,false
201,4,4,4,4.0,1,4,4,4.0,1,false
71,0,0,0,0.0,0,0,0,NaN,0,false
94,3,3,3,3.0,1,3,3,3.0,1,false
22,0,0,0,0.0,0,0,0,NaN,0,false
31,33,35,33,16.0,2,31,33,15.5,2,false
98,0,0,0,0.0,0,0,0,NaN,0,false
36,36,36,36,36.0,1,36,36,36.0,1,false
906,207,245,165,69.0,3,169,131,56.33333206176758,1,false
574,11,14,8,5.0,2,8,5,4.0,1,false
436,79,107,53,26.0,3,51,53,17.0,1,false
191,193,195,190,96.0,2,191,190,95.5,1,false
64,64,64,64,64.0,1,64,64,64.0,1,false
255,130,209,79,32.0,4,51,20,12.75,1,false
507,153,192,61,17.0,9,114,59,12.666666984558105,2,false
299,12,14,8,6.0,2,10,8,5.0,1,false
104,0,0,0,0.0,0,0,0,NaN,0,false
227,49,52,26,16.0,3,46,26,15.333333015441895,2,false
42,0,0,0,0.0,0,0,0,NaN,0,false
67,3,3,3,3.0,1,3,3,3.0,1,false
57,5,5,5,5.0,1,5,5,5.0,1,false
58,0,0,0,0.0,0,0,0,NaN,0,false
58,0,0,0,0.0,0,0,0,NaN,0,false
41,0,0,0,0.0,0,0,0,NaN,0,false
355,357,359,357,178.0,2,355,357,177.5,1,false
69,0,0,0,0.0,0,0,0,NaN,0,false
81,10,11,10,10.0,1,9,9,9.0,1,false
32,1,2,1,1.0,1,0,0,0.0,1,false
216,22,33,9,5.0,4,11,7,2.75,1,false
282,11,11,11,11.0,1,11,11,11.0,1,false
101,0,0,0,0.0,0,0,0,NaN,0,false
54,0,0,0,0.0,0,0,0,NaN,0,false
88,0,0,0,0.0,0,0,0,NaN,0,false
446,18,19,17,9.0,2,17,17,8.5,1,false
