@relation OPENJPA_2/OPENJPA_2_training-set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
112,143,174,125,23.0,6,112,125,18.66666603088379,1,false
69,71,73,69,23.0,3,69,69,23.0,2,false
654,1298,1942,668,216.0,6,654,599,109.0,2,false
131,269,407,136,53.0,5,131,125,26.200000762939453,1,false
47,64,81,48,12.0,5,47,48,9.399999618530273,1,false
34,34,34,34,17.0,2,34,34,17.0,1,false
2835,2938,3041,2795,419.0,7,2835,2795,405.0,2,false
246,489,732,246,122.0,4,246,240,61.5,1,false
127,204,281,146,34.0,6,127,146,21.16666603088379,1,false
254,264,274,255,88.0,3,254,255,84.66666412353516,2,false
55,111,167,57,18.0,6,55,50,9.166666984558105,1,false
36,72,108,36,18.0,4,36,33,9.0,1,false
143,143,143,143,71.0,2,143,143,71.5,1,false
35,35,35,35,17.0,2,35,35,17.5,1,false
204,242,280,211,48.0,5,204,211,40.79999923706055,2,false
40,40,40,40,20.0,2,40,40,20.0,1,false
64,131,198,64,26.0,5,64,60,12.800000190734863,1,false
35,69,103,35,17.0,4,35,32,8.75,1,false
56,110,164,56,27.0,4,56,53,14.0,1,false
63,140,217,68,28.0,5,63,65,12.600000381469727,2,false
35,35,35,35,17.0,2,35,35,17.5,1,false
91,186,281,94,37.0,5,91,87,18.200000762939453,1,false
183,372,561,187,74.0,5,183,175,36.599998474121094,1,false
35,69,103,35,17.0,4,35,32,8.75,1,false
55,64,73,57,16.0,4,55,57,13.75,2,false
681,702,723,668,140.0,5,681,668,136.1999969482422,2,false
48,92,136,48,23.0,4,48,43,12.0,1,false
399,786,1173,400,157.0,5,399,383,79.80000305175781,1,false
453,546,639,461,78.0,7,453,461,64.71428680419922,1,false
80,171,262,84,34.0,5,80,77,16.0,2,false
59,129,199,63,25.0,5,59,55,11.800000190734863,1,false
43,43,43,43,21.0,2,43,43,21.5,1,false
227,338,449,263,56.0,6,227,263,37.83333206176758,1,false
40,80,120,40,20.0,4,40,37,10.0,1,false
443,870,1297,443,217.0,4,443,423,110.75,1,false
43,43,43,43,21.0,2,43,43,21.5,1,false
87,116,145,86,23.0,5,87,86,17.399999618530273,1,false
1345,2987,4629,1496,426.0,7,1345,1333,192.14285278320312,3,false
108,214,320,108,53.0,4,108,104,27.0,1,false
70,91,112,71,18.0,5,70,71,14.0,1,false
29,45,61,30,9.0,5,29,30,5.800000190734863,1,false
57,63,69,58,15.0,4,57,58,14.25,2,false
252,499,746,253,124.0,4,252,238,63.0,1,false
108,139,170,119,23.0,6,108,119,18.0,1,false
50,105,160,51,21.0,5,50,47,10.0,1,false
