Version, File Name, Size, LOCAdded, LOCTouched, MaxLOCAdded, averageLOCAdded, NR, Churn, MaxChurn, AverageChurn, nAuthors, Buggy
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java, 132, 139,146,75,46.0,3,132,75,44.0,3,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java, 67, 76,85,67,19.0,4,67,67,16.75,3,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java, 148, 158,168,147,52.0,3,148,147,49.33333206176758,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java, 78, 82,86,78,41.0,2,78,78,39.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java, 174, 184,194,173,61.0,3,174,173,58.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java, 377, 397,417,377,99.0,4,377,377,94.25,2,true
1, hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java, 43, 43,43,43,43.0,1,43,43,43.0,1,true
1, bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java, 244, 340,436,252,68.0,5,244,252,48.79999923706055,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java, 76, 78,80,76,39.0,2,76,76,38.0,2,false
2, hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java, 35, 0,0,0,0.0,0,0,0,NaN,0,false
2, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java, 378, 401,423,228,100.0,4,379,211,94.75,3,true
2, bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java, 92, 2,4,2,2.0,1,0,0,0.0,1,false
2, bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java, 88, 89,90,84,44.0,2,88,84,44.0,1,true
2, hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java, 63, 63,63,63,63.0,1,63,63,63.0,1,false
2, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java, 51, 53,55,52,26.0,2,51,52,25.5,2,false
2, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java, 147, 0,0,0,0.0,0,0,0,NaN,0,false
2, hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java, 148, 9,19,9,9.0,1,-1,0,-1.0,1,true
2, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java, 105, 0,0,0,0.0,0,0,0,NaN,0,true
2, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java, 77, 9,9,9,9.0,1,9,9,9.0,1,true
2, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java, 694, 193,295,48,19.0,10,91,43,9.100000381469727,3,true
2, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java, 62, 0,0,0,0.0,0,0,0,NaN,0,false
2, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java, 35, 1,2,1,1.0,1,0,0,0.0,1,false
2, hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanInfo.java, 27, 27,27,27,27.0,1,27,27,27.0,1,false
2, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java, 190, 15,17,15,15.0,1,13,13,13.0,1,true
2, hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java, 66, 0,0,0,0.0,0,0,0,NaN,0,false
